# Ic = 15.37 A, n = 27.70 , Tavg = 25.49 K, 25k-30p4pm2-anneal300k-720min-0T
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-04-01_01:47:14.363000      44208.16        7.81147600e-03       -4.62045727e-09  25.4886  22.6826  22.8579  0.0000
0202-04-01_01:47:14.710000      44208.51        3.09875900e-01       -2.32730727e-09  25.4886  22.6826  22.8579  0.0000
0202-04-01_01:47:15.060000      44208.86        6.08292300e-01        2.31452327e-08  25.4879  22.6839  22.8507  0.0000
0202-04-01_01:47:15.418000      44209.22        9.05973800e-01        1.78152127e-08  25.4879  22.6839  22.8507  0.0000
0202-04-01_01:47:15.766000      44209.57        1.20436600e+00        3.03965427e-08  25.4879  22.6839  22.8507  0.0000
0202-04-01_01:47:16.113000      44209.91        1.50271300e+00        1.91787027e-08  25.4880  22.6874  22.8540  0.0000
0202-04-01_01:47:16.457000      44210.26        1.80075700e+00        9.32436273e-09  25.4880  22.6874  22.8540  0.0000
0202-04-01_01:47:16.820000      44210.62        2.09881500e+00        2.81678273e-09  25.4880  22.6874  22.8540  0.0000
0202-04-01_01:47:17.203000      44211.00        2.39673400e+00        3.74644273e-09  25.4994  22.6818  22.8501  0.0000
0202-04-01_01:47:17.560000      44211.36        2.69517200e+00        6.41145273e-09  25.4994  22.6818  22.8501  0.0000
0202-04-01_01:47:17.926000      44211.73        2.99287000e+00        1.60798527e-08  25.4994  22.6818  22.8501  0.0000
0202-04-01_01:47:18.285000      44212.09        3.29106700e+00        1.12456527e-08  25.4930  22.6868  22.8490  0.0000
0202-04-01_01:47:18.633000      44212.43        3.58943600e+00        5.10993273e-09  25.4930  22.6868  22.8490  0.0000
0202-04-01_01:47:18.990000      44212.79        3.88749600e+00        6.84514273e-09  25.4849  22.6821  22.8423  0.0000
0202-04-01_01:47:19.348000      44213.15        4.18582100e+00        1.14227273e-09  25.4849  22.6821  22.8423  0.0000
0202-04-01_01:47:19.695000      44213.50        4.48400300e+00        4.17886273e-09  25.4849  22.6821  22.8423  0.0000
0202-04-01_01:47:20.043000      44213.84        4.78171600e+00        3.93095273e-09  25.4986  22.6820  22.8499  0.0000
0202-04-01_01:47:20.400000      44214.20        5.07985100e+00        5.84192727e-10  25.4986  22.6820  22.8499  0.0000
0202-04-01_01:47:20.746000      44214.55        5.37818900e+00        4.92258273e-09  25.4986  22.6820  22.8499  0.0000
0202-04-01_01:47:21.094000      44214.90        5.67641900e+00        8.83827273e-11  25.5017  22.6845  22.8606  0.0000
0202-04-01_01:47:21.445000      44215.25        5.97403200e+00        6.03817273e-09  25.5017  22.6845  22.8606  0.0000
0202-04-01_01:47:21.790000      44215.59        6.27256600e+00        1.09343527e-08  25.5017  22.6845  22.8606  0.0000
0202-04-01_01:47:22.137000      44215.94        6.57072400e+00        1.60784427e-08  25.4975  22.6794  22.8572  0.0000
0202-04-01_01:47:22.484000      44216.29        6.86847500e+00        8.64120273e-09  25.4975  22.6794  22.8572  0.0000
0202-04-01_01:47:22.870000      44216.67        7.16632000e+00        8.76515273e-09  25.4975  22.6794  22.8572  0.0000
0202-04-01_01:47:23.234000      44217.04        7.46473600e+00        1.40332027e-08  25.4852  22.6855  22.8507  0.0000
0202-04-01_01:47:23.582000      44217.39        7.76250400e+00        3.06327273e-09  25.4852  22.6855  22.8507  0.0000
0202-04-01_01:47:23.945000      44217.75        8.06082800e+00        7.46364273e-09  25.4813  22.6812  22.8496  0.0000
0202-04-01_01:47:24.293000      44218.09        8.35927600e+00        2.11605527e-08  25.4813  22.6812  22.8496  0.0000
0202-04-01_01:47:24.640000      44218.44        8.65663500e+00        1.14301627e-08  25.4813  22.6812  22.8496  0.0000
0202-04-01_01:47:24.990000      44218.79        8.95541200e+00        1.56438027e-08  25.4739  22.6805  22.8398  0.0000
0202-04-01_01:47:25.336000      44219.14        9.25314700e+00        1.61384227e-08  25.4739  22.6805  22.8398  0.0000
0202-04-01_01:47:25.695000      44219.50        9.55114900e+00        1.62623727e-08  25.4739  22.6805  22.8398  0.0000
0202-04-01_01:47:26.043000      44219.85        9.84929200e+00        1.83695927e-08  25.4856  22.6833  22.8494  0.0000
0202-04-01_01:47:26.390000      44220.19        1.01469900e+01        1.04985127e-08  25.4856  22.6833  22.8494  0.0000
0202-04-01_01:47:26.740000      44220.54        1.04460200e+01        1.33494527e-08  25.4856  22.6833  22.8494  0.0000
