# Ic = 0.36 A, n = 10.74 , Tavg = 69.98 K, 45e19pm2-anneal300k-720min-0nA-0T-70k-
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-04-04_02:37:17.860000      233556.98        9.60498400e-03        1.45132778e-08  69.9098  68.7933  69.2992  0.0000
0202-04-04_02:37:18.220000      233557.34        1.73794000e-02        1.42653778e-08  69.9098  68.7933  69.2992  0.0000
0202-04-04_02:37:18.566000      233557.69        2.00479500e-02        8.25347778e-09  70.0064  68.7944  69.3524  0.0000
0202-04-04_02:37:18.914000      233558.04        2.29302300e-02        8.50137778e-09  70.0064  68.7944  69.3524  0.0000
0202-04-04_02:37:19.260000      233558.39        2.60147200e-02        4.47277778e-09  70.0064  68.7944  69.3524  0.0000
0202-04-04_02:37:19.613000      233558.74        2.89207400e-02        7.81957778e-09  69.9698  68.7948  69.3311  0.0000
0202-04-04_02:37:19.970000      233559.10        3.20642300e-02        1.76212778e-08  69.9698  68.7948  69.3311  0.0000
0202-04-04_02:37:20.316000      233559.44        3.51093300e-02        1.99204778e-08  69.9698  68.7948  69.3311  0.0000
0202-04-04_02:37:20.668000      233559.79        3.79470800e-02        1.24830778e-08  69.9514  68.7956  69.2890  0.0000
0202-04-04_02:37:21.016000      233560.14        4.12823200e-02        1.02517778e-08  69.9514  68.7956  69.2890  0.0000
0202-04-04_02:37:21.395000      233560.52        4.37920600e-02        8.82627778e-09  69.9514  68.7956  69.2890  0.0000
0202-04-04_02:37:21.766000      233560.89        4.69177400e-02        1.09335778e-08  69.9476  68.7960  69.3015  0.0000
0202-04-04_02:37:22.110000      233561.24        4.99593400e-02        8.88827778e-09  69.9476  68.7960  69.3015  0.0000
0202-04-04_02:37:22.465000      233561.59        5.30790800e-02        7.27687778e-09  69.9365  68.7962  69.2782  0.0000
0202-04-04_02:37:22.824000      233561.95        5.57595000e-02        8.51637778e-09  69.9365  68.7962  69.2782  0.0000
0202-04-04_02:37:23.188000      233562.31        5.86980200e-02        1.18632778e-08  69.9365  68.7962  69.2782  0.0000
0202-04-04_02:37:23.543000      233562.67        6.20389000e-02        8.51637778e-09  69.9390  68.7960  69.3070  0.0000
0202-04-04_02:37:23.890000      233563.02        6.44889700e-02        1.44043778e-08  69.9390  68.7960  69.3070  0.0000
0202-04-04_02:37:24.240000      233563.36        6.80999700e-02        8.64037778e-09  69.9390  68.7960  69.3070  0.0000
0202-04-04_02:37:24.590000      233563.71        7.07284500e-02       -2.57772222e-09  69.9675  68.7928  69.3252  0.0000
0202-04-04_02:37:24.945000      233564.07        7.38227000e-02        1.07897778e-09  69.9675  68.7928  69.3252  0.0000
0202-04-04_02:37:25.297000      233564.42        7.66485700e-02       -5.86262222e-09  69.9675  68.7928  69.3252  0.0000
0202-04-04_02:37:25.645000      233564.77        7.98989200e-02       -1.55369222e-08  69.9811  68.7929  69.3305  0.0000
0202-04-04_02:37:25.992000      233565.12        8.28421700e-02       -6.49962222e-09  69.9811  68.7929  69.3305  0.0000
0202-04-04_02:37:26.426000      233565.55        8.58016100e-02        5.02077778e-10  69.9811  68.7929  69.3305  0.0000
0202-04-04_02:37:26.773000      233565.90        8.86991500e-02       -1.43728222e-08  70.0038  68.7931  69.3194  0.0000
0202-04-04_02:37:27.133000      233566.26        9.15027600e-02       -2.28018222e-08  70.0038  68.7931  69.3194  0.0000
0202-04-04_02:37:27.492000      233566.62        9.47056100e-02       -1.70998222e-08  70.0096  68.7950  69.3323  0.0000
0202-04-04_02:37:27.855000      233566.98        9.74846600e-02       -2.23680222e-08  70.0096  68.7950  69.3323  0.0000
0202-04-04_02:37:28.203000      233567.33        1.00558400e-01       -3.32142222e-08  70.0096  68.7950  69.3323  0.0000
0202-04-04_02:37:28.560000      233567.69        1.03651400e-01       -2.16862222e-08  69.9849  68.7931  69.3125  0.0000
0202-04-04_02:37:28.918000      233568.04        1.06615100e-01       -3.40199222e-08  69.9849  68.7931  69.3125  0.0000
