# Tc = 0.00 K, up-ffj51-0e19pm2-0T-
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-26_03:03:43.310000      13924.65        8.86359700e-03        2.97487000e-09  85.7871  83.9894  85.0437  0.0000
0202-03-26_03:03:44.195000      13925.54        9.23888200e-03        1.10937700e-08  85.7965  83.9890  85.0276  0.0000
0202-03-26_03:03:45.090000      13926.43        8.87220900e-03       -6.35263500e-09  85.7965  83.9890  85.0276  0.0000
0202-03-26_03:03:45.970000      13927.31        9.42159500e-03       -4.89923100e-08  85.8051  83.9875  85.0523  0.0000
0202-03-26_03:03:46.836000      13928.18        9.30308100e-03       -4.89613500e-09  85.7758  83.9850  85.0460  0.0000
0202-03-26_03:03:47.727000      13929.07        9.16898200e-03       -2.62469900e-08  85.7512  83.9820  85.0455  0.0000
0202-03-26_03:03:48.625000      13929.97        9.30946200e-03       -8.13749550e-08  85.7282  83.9807  85.0197  0.0000
0202-03-26_03:03:49.492000      13930.83        9.05810800e-03       -6.63147000e-09  85.7258  83.9803  85.0146  0.0000
0202-03-26_03:03:50.360000      13931.70        9.20986700e-03        4.40032000e-09  85.7605  83.9819  85.0079  0.0000
0202-03-26_03:03:51.240000      13932.58        9.27487400e-03       -2.87585600e-08  85.7391  83.9825  84.9940  0.0000
0202-03-26_03:03:52.113000      13933.45        9.22938300e-03        2.01732850e-08  85.7478  83.9839  85.0001  0.0000
0202-03-26_03:03:52.980000      13934.32        9.32370500e-03       -7.96395500e-09  85.7478  83.9839  85.0001  0.0000
0202-03-26_03:03:53.848000      13935.19        9.09929200e-03       -6.56949000e-09  85.7151  83.9857  84.9958  0.0000
0202-03-26_03:03:54.727000      13936.07        9.18359400e-03       -4.18340000e-09  85.6996  83.9888  85.0062  0.0000
0202-03-26_03:03:55.613000      13936.96        8.90426300e-03        1.01951000e-08  85.7005  83.9916  84.9934  0.0000
0202-03-26_03:03:56.492000      13937.83        9.04199700e-03        2.27453000e-08  85.7144  83.9939  85.0019  0.0000
0202-03-26_03:03:57.363000      13938.70        9.12474200e-03       -7.28194500e-09  85.7533  84.0012  84.9976  0.0000
0202-03-26_03:03:58.242000      13939.58        9.35205100e-03       -1.89337650e-08  85.7470  84.0043  85.0053  0.0000
0202-03-26_03:03:59.113000      13940.46        8.86626900e-03        2.16917100e-08  85.7470  84.0043  85.0053  0.0000
0202-03-26_03:03:59.984000      13941.33        9.13023700e-03       -3.96338500e-08  85.7053  84.0071  84.9616  0.0000
0202-03-26_03:04:00.850000      13942.19        8.88185100e-03        3.47067500e-09  85.6886  84.0133  84.9601  0.0000
0202-03-26_03:04:01.723000      13943.06        9.02492700e-03       -2.05141600e-08  85.6537  84.0176  84.9354  0.0000
0202-03-26_03:04:02.590000      13943.93        9.10106200e-03       -4.10284800e-08  85.6748  84.0251  84.9495  0.0000
0202-03-26_03:04:03.460000      13944.80        8.94239600e-03       -2.53484550e-08  85.6949  84.0291  84.9770  0.0000
0202-03-26_03:04:04.332000      13945.67        9.10966700e-03        2.22804700e-08  85.7570  84.0366  85.0046  0.0000
0202-03-26_03:04:05.215000      13946.56        8.98009600e-03       -2.57201500e-08  85.7401  84.0423  85.0229  0.0000
0202-03-26_03:04:06.105000      13947.45        9.17297000e-03        1.51531950e-08  85.7401  84.0423  85.0229  0.0000
0202-03-26_03:04:06.980000      13948.32        8.95026500e-03        2.76104300e-08  85.6940  84.0481  84.9568  0.0000
0202-03-26_03:04:07.848000      13949.19        8.97520200e-03       -2.08550100e-08  85.6696  84.0543  84.9401  0.0000
0202-03-26_03:04:08.720000      13950.06        9.28673800e-03       -4.29181500e-08  85.6451  84.0586  84.9290  0.0000
0202-03-26_03:04:09.586000      13950.93        9.12005900e-03        2.12578650e-08  85.6387  84.0655  84.8992  0.0000
0202-03-26_03:04:10.457000      13951.80        9.03078400e-03        4.95810000e-09  85.6610  84.0714  84.9452  0.0000
0202-03-26_03:04:11.324000      13952.67        8.88726100e-03        3.52025300e-08  85.7383  84.0803  84.9766  0.0000
0202-03-26_03:04:12.215000      13953.56        9.14447600e-03        5.38573900e-08  85.7467  84.0845  85.0297  0.0000
0202-03-26_03:04:13.110000      13954.45        8.85869000e-03        1.39446500e-09  85.7467  84.0845  85.0297  0.0000
0202-03-26_03:04:13.984000      13955.33        8.92340000e-03        5.92803200e-08  85.7160  84.0893  85.0004  0.0000
0202-03-26_03:04:14.855000      13956.20        9.05890700e-03        2.90681850e-08  85.6725  84.0952  84.9522  0.0000
0202-03-26_03:04:15.730000      13957.07        9.13564200e-03       -6.22862250e-08  85.6459  84.1011  84.9324  0.0000
0202-03-26_03:04:16.610000      13957.95        8.97156100e-03       -6.81740000e-10  85.6218  84.1098  84.8948  0.0000
0202-03-26_03:04:17.496000      13958.84        9.17512000e-03        3.22277000e-09  85.6543  84.1154  84.9232  0.0000
0202-03-26_03:04:18.370000      13959.71        9.14469400e-03       -2.87880100e-08  85.7047  84.1234  84.9568  0.0000
0202-03-26_03:04:19.270000      13960.61        8.92985500e-03        5.93113650e-08  85.7328  84.1320  84.9939  0.0000
0202-03-26_03:04:20.160000      13961.50        8.73609300e-03        1.35106250e-08  85.7358  84.1428  85.0351  0.0000
0202-03-26_03:04:21.035000      13962.38        8.96236000e-03       -5.48490000e-09  85.7358  84.1428  85.0351  0.0000
0202-03-26_03:04:21.902000      13963.25        8.96510600e-03       -1.19924150e-08  85.7049  84.1516  84.9946  0.0000
0202-03-26_03:04:22.773000      13964.12        9.06373300e-03       -4.65442100e-08  85.6619  84.1598  84.9681  0.0000
0202-03-26_03:04:23.670000      13965.01        8.69579700e-03       -3.37770900e-08  85.6181  84.1661  84.9065  0.0000
0202-03-26_03:04:24.560000      13965.90        8.95901900e-03        2.10409550e-08  85.6452  84.1748  84.9158  0.0000
0202-03-26_03:04:25.438000      13966.78        8.95649100e-03       -4.85894300e-08  85.6825  84.1828  84.9475  0.0000
0202-03-26_03:04:26.310000      13967.65        9.05467000e-03        7.54874400e-08  85.7409  84.1921  84.9816  0.0000
0202-03-26_03:04:27.210000      13968.55        8.97771400e-03        1.98324000e-09  85.7376  84.1995  85.0302  0.0000
0202-03-26_03:04:28.100000      13969.44        9.07493000e-03       -2.20635700e-08  85.7376  84.1995  85.0302  0.0000
0202-03-26_03:04:28.973000      13970.32        8.92584100e-03        3.59462500e-09  85.7090  84.2060  84.9990  0.0000
0202-03-26_03:04:29.840000      13971.18        9.42683600e-03        6.09847050e-08  85.6767  84.2120  84.9850  0.0000
